_id,name,id,nametype,recclass,mass (g),fall,year,reclat,reclong,GeoLocation
659f34b2c72de7d60a623f9e,Fermo,10091,Valid,H3-5,10200,Fell,1996,43.18111,13.75333,"(43.18111, 13.75333)"
659f34b2c72de7d60a623f66,Devri-Khera,6696,Valid,L6,1140,Fell,1994,24.225,76.525,"(24.225, 76.525)"
659f34b2c72de7d60a623fb5,Gashua,44882,Valid,L6,4162,Fell,1984,12.85,11.03333,"(12.85, 11.03333)"
659f34b2c72de7d60a623fb0,Galkiv,10850,Valid,H4,5000,Fell,1995,51.68333,30.78333,"(51.68333, 30.78333)"
659f34b2c72de7d60a623fb6,Gasseltepaoua,10866,Valid,H5,,Fell,2000,14.15083,-2.04167,"(14.15083, -2.04167)"
659f34b2c72de7d60a623fba,Glanerbrug,10923,Valid,L/LL5,670,Fell,1990,52.2,6.86667,"(52.2, 6.86667)"
659f34b2c72de7d60a623f60,Dergaon,6664,Valid,H5,12500,Fell,2001,26.68333,93.86667,"(26.68333, 93.86667)"
659f34b2c72de7d60a623fc4,Grimsby,50911,Valid,H5,215,Fell,2009,43.2,-79.61667,"(43.2, -79.61667)"
659f34b2c72de7d60a623fbf,Glatton,10930,Valid,L6,767,Fell,1991,52.45972,-0.3,"(52.45972, -0.3)"
659f34b2c72de7d60a623fcb,Guangmingshan,11435,Valid,H5,2910,Fell,1996,39.80417,122.76389,"(39.80417, 122.76389)"
659f34b2c72de7d60a623fcc,Guangnan,11436,Valid,L6,,Fell,1983,24.1,105.0,"(24.1, 105.0)"
659f34b2c72de7d60a623fd4,Gujba,11449,Valid,CBa,100000,Fell,1984,11.49167,11.65833,"(11.49167, 11.65833)"
659f34b2c72de7d60a623fea,Hiroshima,11889,Valid,H5,414,Fell,2003,34.45,132.38333,"(34.45, 132.38333)"
659f34b2c72de7d60a623feb,Hoima,44714,Valid,H6,167.7,Fell,2003,1.345,31.47278,"(1.345, 31.47278)"
659f34b2c72de7d60a623ff3,Huaxi,54719,Valid,H5,1600,Fell,2010,26.46469,106.63241,"(26.46469, 106.63241)"
659f34b2c72de7d60a62400b,Jalanash,12068,Valid,Ureilite,700,Fell,1990,,,
659f34b2c72de7d60a624007,Itqiy,12058,Valid,EH7-an,4720,Fell,1990,26.59083,-12.95217,"(26.59083, -12.95217)"
659f34b2c72de7d60a624010,Jesenice,51589,Valid,L6,3667,Fell,2009,46.42137,14.05217,"(46.42137, 14.05217)"
659f34b2c72de7d60a624017,Jodiya,47362,Valid,L5,100,Fell,2006,22.68,70.31333,"(22.68, 70.31333)"
659f34b2c72de7d60a624019,Juancheng,12203,Valid,H5,100000,Fell,1997,35.5,115.41667,"(35.5, 115.41667)"
659f34b2c72de7d60a624033,Kaprada,47357,Valid,L5/6,1600,Fell,2004,20.33916,73.22329,"(20.33916, 73.22329)"
659f34b2c72de7d60a62403c,Kasauli,30740,Valid,H4,16820,Fell,2003,29.58333,77.58333,"(29.58333, 77.58333)"
659f34b2c72de7d60a62403d,Katagum,35465,Valid,L6,1500,Fell,1999,11.33333,10.08333,"(11.33333, 10.08333)"
659f34b2c72de7d60a62401d,Jumapalo,12209,Valid,L6,32490,Fell,1984,-7.71667,111.2,"(-7.71667, 111.2)"
659f34b2c72de7d60a62403e,Kavarpura,47351,Valid,"Iron, IIE-an",6800,Fell,2006,25.14333,75.81333,"(25.14333, 75.81333)"
